,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
706,4101,Cape Dorset Airport,YTE,CYTE,Cape Dorset,64.230003,-76.526604,Canada,164,801,"{'name': 'America/Iqaluit', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'EDT', 'abbrName': 'Eastern Daylight Time', 'isDst': True}",40
707,630,Cape Girardeau Regional Airport,CGI,KCGI,Cape Girardeau,37.225311,-89.570702,United States,341,25401,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
708,3879,Cape May County,WWD,KWWD,Wildwood,39.008499,-74.908203,United States,21,25099,"{'name': 'America/New_York', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'EDT', 'abbrName': 'Eastern Daylight Time', 'isDst': True}",236
709,723,Cape Town International Airport,CPT,FACT,Cape Town,-33.964802,18.60166,South Africa,151,266948,"{'name': 'Africa/Johannesburg', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'SAST', 'abbrName': 'South Africa Standard Time', 'isDst': False}",205
710,592,Caracas Simon Bolivar International Airport,CCS,SVMI,Caracas,10.60311,-66.990501,Venezuela,235,40483,"{'name': 'America/Caracas', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': '-04', 'abbrName': None, 'isDst': False}",242
711,4703,Carajas Airport,CKS,SBCJ,Carajas,-6.114749,-50.001945,Brazil,2037,1977,"{'name': 'America/Belem', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",32
712,6638,Carauari Airport,CAF,SWCA,Carauari,-4.87152,-66.897499,Brazil,355,100,"{'name': 'America/Manaus', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': '-04', 'abbrName': None, 'isDst': False}",32
713,5870,Carbondale Murphysboro Southern Illinois Airport,MDH,KMDH,Carbondale Murphysboro,37.778099,-89.251999,United States,411,27757,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
714,586,Carcassonne Airport,CCF,LFMK,Carcassonne,43.215809,2.308544,France,433,17079,"{'name': 'Europe/Paris', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'CEST', 'abbrName': 'Central European Summer Time', 'isDst': True}",76
715,775,Cardiff Airport,CWL,EGFF,Cardiff,51.396469,-3.33753,United Kingdom,220,56025,"{'name': 'Europe/London', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'BST', 'abbrName': 'British Summer Time', 'isDst': True}",235
716,570,Carlisle Lake District Airport,CAX,EGNC,Carlisle,54.9375,-2.80916,United Kingdom,190,1537,"{'name': 'Europe/London', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'BST', 'abbrName': 'British Summer Time', 'isDst': True}",235
717,698,Carlsbad Cavern City Air Terminal Airport,CNM,KCNM,Carlsbad,32.337471,-104.263,United States,3295,20467,"{'name': 'America/Denver', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'MDT', 'abbrName': 'Mountain Daylight Time', 'isDst': True}",236
718,768,Carnarvon Airport,CVQ,YCAR,Carnarvon,-24.880501,113.672203,Australia,13,9547,"{'name': 'Australia/Perth', 'offset': 28800, 'offsetHours': '8:00', 'abbr': 'AWST', 'abbrName': 'Australian Western Standard Time', 'isDst': False}",14
719,8270,Carosue Dam Airport,WCD,YSCD,Carosue Dam,-30.1737,122.322098,Australia,1306,548,"{'name': 'Australia/Perth', 'offset': 28800, 'offsetHours': '8:00', 'abbr': 'AWST', 'abbrName': 'Australian Western Standard Time', 'isDst': False}",14
720,5735,Carson Airport,CSN,KCXP,Carson City,39.1922,-119.734001,United States,4697,20555,"{'name': 'America/Los_Angeles', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'PDT', 'abbrName': 'Pacific Daylight Time', 'isDst': True}",236
721,748,Cartagena Rafael Nunez International Airport,CTG,SKCG,Cartagena,10.4425,-75.512703,Colombia,4,141440,"{'name': 'America/Bogota', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': '-05', 'abbrName': None, 'isDst': False}",49
722,7757,Cartersville Airport,QQV,KVPC,Cartersville,34.123055,-84.84861,United States,759,17772,"{'name': 'America/New_York', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'EDT', 'abbrName': 'Eastern Daylight Time', 'isDst': True}",236
723,4085,Cartwright Airport,YRF,CYCA,Cartwright,53.682999,-57.033001,Canada,40,218,"{'name': 'America/Goose_Bay', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': 'ADT', 'abbrName': 'Atlantic Daylight Time', 'isDst': True}",40
724,6550,Caruaru Airport,CAU,SNRU,Caruaru,-8.28239,-36.0135,Brazil,1891,525,"{'name': 'America/Recife', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",32
725,4522,Casa Grande Municipal Airport,CGZ,KCGZ,Casa Grande,32.955158,-111.766068,United States,1464,79244,"{'name': 'America/Phoenix', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'MST', 'abbrName': 'Mountain Standard Time', 'isDst': False}",236
726,690,Casablanca Mohammed V International Airport,CMN,GMMN,Casablanca,33.367458,-7.58996,Morocco,656,263595,"{'name': 'Africa/Casablanca', 'offset': 3600, 'offsetHours': '1:00', 'abbr': '+01', 'abbrName': None, 'isDst': True}",149
727,7581,Cascais Municipal Aerodrome,CAT,LPCS,Cascais,38.725555,-9.355278,Portugal,325,46423,"{'name': 'Europe/Lisbon', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WEST', 'abbrName': 'Western European Summer Time', 'isDst': True}",177
